,Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Requested_Date,Requested_Hour,Requested_Month,Requested_Day_Of_Week,Drop_Date,Drop_Hour,Drop_Month,Drop_Day_Of_Week,Demand_Not_Filled,Demand_Filled,Cancelled
41,1756,Airport,5.0,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,12,8,7,Tuesday,12.0,9.0,7.0,Tuesday,0,1,0
42,2052,City,5.0,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,12,14,7,Tuesday,12.0,15.0,7.0,Tuesday,0,1,0
43,2559,City,5.0,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,12,21,7,Tuesday,12.0,22.0,7.0,Tuesday,0,1,0
44,3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,13,7,7,Wednesday,13.0,8.0,7.0,Wednesday,0,1,0
45,3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,13,12,7,Wednesday,13.0,12.0,7.0,Wednesday,0,1,0
46,4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,14,6,7,Thursday,14.0,7.0,7.0,Thursday,0,1,0
47,5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,15,9,7,Friday,15.0,10.0,7.0,Friday,0,1,0
48,6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,15,22,7,Friday,15.0,23.0,7.0,Friday,0,1,0
49,1517,Airport,6.0,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,12,5,7,Tuesday,12.0,6.0,7.0,Tuesday,0,1,0
50,1999,Airport,6.0,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,12,13,7,Tuesday,12.0,13.0,7.0,Tuesday,0,1,0
51,2960,Airport,6.0,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,13,6,7,Wednesday,13.0,7.0,7.0,Wednesday,0,1,0
52,3882,City,6.0,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,13,21,7,Wednesday,13.0,22.0,7.0,Wednesday,0,1,0
53,4081,Airport,6.0,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,14,2,7,Thursday,14.0,3.0,7.0,Thursday,0,1,0
54,4740,City,6.0,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,14,14,7,Thursday,14.0,15.0,7.0,Thursday,0,1,0
55,5270,City,6.0,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,14,21,7,Thursday,14.0,22.0,7.0,Thursday,0,1,0
56,6758,Airport,6.0,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,15,0,7,Friday,15.0,1.0,7.0,Friday,0,1,0
57,5741,City,6.0,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,15,7,7,Friday,15.0,8.0,7.0,Friday,0,1,0
58,6087,Airport,6.0,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,15,14,7,Friday,15.0,15.0,7.0,Friday,0,1,0
59,1039,City,7.0,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,11,19,7,Monday,11.0,20.0,7.0,Monday,0,1,0
60,1273,Airport,7.0,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,11,22,7,Monday,11.0,23.0,7.0,Monday,0,1,0
61,2480,City,7.0,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,12,20,7,Tuesday,12.0,21.0,7.0,Tuesday,0,1,0
62,4105,City,7.0,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,14,3,7,Thursday,14.0,4.0,7.0,Thursday,0,1,0
63,4509,City,7.0,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,14,9,7,Thursday,14.0,10.0,7.0,Thursday,0,1,0
64,4986,Airport,7.0,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,14,18,7,Thursday,14.0,19.0,7.0,Thursday,0,1,0
65,5898,City,7.0,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,15,9,7,Friday,15.0,10.0,7.0,Friday,0,1,0
66,6142,Airport,7.0,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,15,15,7,Friday,15.0,16.0,7.0,Friday,0,1,0
67,380,Airport,8.0,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,11,8,7,Monday,11.0,9.0,7.0,Monday,0,1,0
68,1050,Airport,8.0,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,11,19,7,Monday,11.0,20.0,7.0,Monday,0,1,0
69,1769,City,8.0,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,12,8,7,Tuesday,12.0,9.0,7.0,Tuesday,0,1,0
70,2520,City,8.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,12,21,7,Tuesday,12.0,22.0,7.0,Tuesday,0,1,0
71,3265,Airport,8.0,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,13,10,7,Wednesday,13.0,11.0,7.0,Wednesday,0,1,0
72,4648,City,8.0,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,14,11,7,Thursday,14.0,12.0,7.0,Thursday,0,1,0
73,449,Airport,9.0,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,11,9,7,Monday,11.0,9.0,7.0,Monday,0,1,0
74,846,Airport,9.0,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,11,17,7,Monday,11.0,18.0,7.0,Monday,0,1,0
75,1346,Airport,9.0,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,11,23,7,Monday,12.0,0.0,7.0,Tuesday,0,1,0
76,1474,Airport,9.0,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,12,5,7,Tuesday,12.0,5.0,7.0,Tuesday,0,1,0
77,2240,City,9.0,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,12,18,7,Tuesday,12.0,18.0,7.0,Tuesday,0,1,0
78,3072,Airport,9.0,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,13,8,7,Wednesday,13.0,8.0,7.0,Wednesday,0,1,0
79,3459,Airport,9.0,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,13,17,7,Wednesday,13.0,17.0,7.0,Wednesday,0,1,0
80,3774,Airport,9.0,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,13,20,7,Wednesday,13.0,21.0,7.0,Wednesday,0,1,0
81,4023,City,9.0,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,13,23,7,Wednesday,14.0,0.0,7.0,Thursday,0,1,0
82,4117,City,9.0,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,14,4,7,Thursday,14.0,5.0,7.0,Thursday,0,1,0
83,4880,Airport,9.0,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,14,17,7,Thursday,14.0,19.0,7.0,Thursday,0,1,0
84,5568,Airport,9.0,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,15,5,7,Friday,15.0,6.0,7.0,Friday,0,1,0
85,5994,Airport,9.0,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,15,11,7,Friday,15.0,12.0,7.0,Friday,0,1,0
86,1809,Airport,10.0,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,12,9,7,Tuesday,12.0,10.0,7.0,Tuesday,0,1,0
87,2064,Airport,10.0,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,12,15,7,Tuesday,12.0,16.0,7.0,Tuesday,0,1,0
88,3210,City,10.0,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,13,9,7,Wednesday,13.0,10.0,7.0,Wednesday,0,1,0
89,4350,City,10.0,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,14,7,7,Thursday,14.0,8.0,7.0,Thursday,0,1,0
90,4713,City,10.0,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,14,13,7,Thursday,14.0,14.0,7.0,Thursday,0,1,0
91,5629,Airport,10.0,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,15,6,7,Friday,15.0,7.0,7.0,Friday,0,1,0
92,6157,Airport,10.0,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,15,16,7,Friday,15.0,17.0,7.0,Friday,0,1,0
93,2030,City,11.0,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,12,14,7,Tuesday,12.0,15.0,7.0,Tuesday,0,1,0
94,3226,City,11.0,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,13,10,7,Wednesday,13.0,11.0,7.0,Wednesday,0,1,0
95,3353,City,11.0,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,13,13,7,Wednesday,13.0,14.0,7.0,Wednesday,0,1,0
96,4293,City,11.0,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,14,6,7,Thursday,14.0,7.0,7.0,Thursday,0,1,0
97,4936,City,11.0,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,14,18,7,Thursday,14.0,19.0,7.0,Thursday,0,1,0
98,5661,Airport,11.0,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,15,7,7,Friday,15.0,7.0,7.0,Friday,0,1,0
99,5778,City,11.0,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,15,8,7,Friday,15.0,9.0,7.0,Friday,0,1,0
100,6425,Airport,11.0,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,15,19,7,Friday,15.0,20.0,7.0,Friday,0,1,0
101,45,Airport,12.0,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,11,3,7,Monday,11.0,4.0,7.0,Monday,0,1,0
102,264,City,12.0,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,11,6,7,Monday,11.0,7.0,7.0,Monday,0,1,0
103,1183,City,12.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,11,21,7,Monday,11.0,21.0,7.0,Monday,0,1,0
104,1536,Airport,12.0,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,12,5,7,Tuesday,12.0,6.0,7.0,Tuesday,0,1,0
105,2437,City,12.0,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,12,20,7,Tuesday,12.0,21.0,7.0,Tuesday,0,1,0
106,2641,Airport,12.0,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,12,22,7,Tuesday,12.0,23.0,7.0,Tuesday,0,1,0
107,4077,Airport,12.0,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,14,2,7,Thursday,14.0,3.0,7.0,Thursday,0,1,0
108,4610,City,12.0,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,14,10,7,Thursday,14.0,11.0,7.0,Thursday,0,1,0
109,5066,Airport,12.0,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,14,19,7,Thursday,14.0,20.0,7.0,Thursday,0,1,0
110,5666,Airport,12.0,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,15,7,7,Friday,15.0,8.0,7.0,Friday,0,1,0
111,5923,City,12.0,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,15,10,7,Friday,15.0,10.0,7.0,Friday,0,1,0
112,6367,City,12.0,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,15,19,7,Friday,15.0,19.0,7.0,Friday,0,1,0
113,155,City,13.0,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,11,5,7,Monday,11.0,6.0,7.0,Monday,0,1,0
114,310,Airport,13.0,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,11,7,7,Monday,11.0,8.0,7.0,Monday,0,1,0
115,607,City,13.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,11,11,7,Monday,11.0,12.0,7.0,Monday,0,1,0
116,1012,City,13.0,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,11,19,7,Monday,11.0,19.0,7.0,Monday,0,1,0
117,1696,Airport,13.0,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,12,8,7,Tuesday,12.0,8.0,7.0,Tuesday,0,1,0
118,3076,City,13.0,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,13,8,7,Wednesday,13.0,9.0,7.0,Wednesday,0,1,0
119,4198,Airport,13.0,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,14,5,7,Thursday,14.0,6.0,7.0,Thursday,0,1,0
120,4627,City,13.0,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,14,11,7,Thursday,14.0,12.0,7.0,Thursday,0,1,0
121,5289,City,13.0,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,14,21,7,Thursday,14.0,22.0,7.0,Thursday,0,1,0
122,5495,Airport,13.0,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,15,5,7,Friday,15.0,6.0,7.0,Friday,0,1,0
123,6656,Airport,13.0,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,15,22,7,Friday,15.0,22.0,7.0,Friday,0,1,0
124,139,Airport,14.0,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,11,5,7,Monday,11.0,6.0,7.0,Monday,0,1,0
125,215,City,14.0,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,11,6,7,Monday,11.0,7.0,7.0,Monday,0,1,0
126,1816,City,14.0,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,12,9,7,Tuesday,12.0,10.0,7.0,Tuesday,0,1,0
127,2505,Airport,14.0,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,12,21,7,Tuesday,12.0,22.0,7.0,Tuesday,0,1,0
128,3346,City,14.0,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,13,13,7,Wednesday,13.0,13.0,7.0,Wednesday,0,1,0
129,5294,City,14.0,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,14,21,7,Thursday,14.0,22.0,7.0,Thursday,0,1,0
130,6226,Airport,14.0,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,15,17,7,Friday,15.0,18.0,7.0,Friday,0,1,0
131,6733,Airport,14.0,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,15,23,7,Friday,16.0,0.0,7.0,,0,1,0
132,1027,Airport,15.0,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,11,19,7,Monday,11.0,20.0,7.0,Monday,0,1,0
133,2675,Airport,15.0,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:12,12,23,7,Tuesday,13.0,0.0,7.0,Wednesday,0,1,0
134,3200,City,15.0,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,13,9,7,Wednesday,13.0,10.0,7.0,Wednesday,0,1,0
135,3865,City,15.0,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,13,21,7,Wednesday,13.0,22.0,7.0,Wednesday,0,1,0
136,4468,City,15.0,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,14,8,7,Thursday,14.0,9.0,7.0,Thursday,0,1,0
137,5163,Airport,15.0,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,14,20,7,Thursday,14.0,21.0,7.0,Thursday,0,1,0
138,6009,City,15.0,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,15,12,7,Friday,15.0,13.0,7.0,Friday,0,1,0
139,6448,Airport,15.0,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,15,20,7,Friday,15.0,20.0,7.0,Friday,0,1,0
140,591,City,16.0,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,11,11,7,Monday,11.0,12.0,7.0,Monday,0,1,0
141,709,City,16.0,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,11,14,7,Monday,11.0,15.0,7.0,Monday,0,1,0
142,1167,Airport,16.0,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,11,20,7,Monday,11.0,21.0,7.0,Monday,0,1,0
143,2661,Airport,16.0,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:21,12,23,7,Tuesday,13.0,0.0,7.0,Wednesday,0,1,0
144,2808,City,16.0,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,13,5,7,Wednesday,13.0,5.0,7.0,Wednesday,0,1,0
145,3258,Airport,16.0,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,13,10,7,Wednesday,13.0,10.0,7.0,Wednesday,0,1,0
146,3413,Airport,16.0,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,13,15,7,Wednesday,13.0,16.0,7.0,Wednesday,0,1,0
147,3939,Airport,16.0,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,13,22,7,Wednesday,13.0,22.0,7.0,Wednesday,0,1,0
148,4125,City,16.0,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,14,4,7,Thursday,14.0,5.0,7.0,Thursday,0,1,0
149,4457,City,16.0,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,14,8,7,Thursday,14.0,9.0,7.0,Thursday,0,1,0
150,4728,City,16.0,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,14,14,7,Thursday,14.0,15.0,7.0,Thursday,0,1,0
151,5347,Airport,16.0,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,14,22,7,Thursday,14.0,23.0,7.0,Thursday,0,1,0
152,6147,City,16.0,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,15,16,7,Friday,15.0,17.0,7.0,Friday,0,1,0
153,6496,Airport,16.0,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,15,20,7,Friday,15.0,21.0,7.0,Friday,0,1,0
154,634,City,17.0,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,11,12,7,Monday,11.0,13.0,7.0,Monday,0,1,0
155,939,Airport,17.0,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,11,18,7,Monday,11.0,19.0,7.0,Monday,0,1,0
156,2628,Airport,17.0,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,12,22,7,Tuesday,12.0,23.0,7.0,Tuesday,0,1,0
157,3021,City,17.0,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,13,7,7,Wednesday,13.0,8.0,7.0,Wednesday,0,1,0
158,4743,City,17.0,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,14,14,7,Thursday,14.0,15.0,7.0,Thursday,0,1,0
159,4981,City,17.0,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,14,18,7,Thursday,14.0,19.0,7.0,Thursday,0,1,0
160,5367,Airport,17.0,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,14,23,7,Thursday,15.0,0.0,7.0,Friday,0,1,0
161,5471,Airport,17.0,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,15,4,7,Friday,15.0,5.0,7.0,Friday,0,1,0
162,5988,Airport,17.0,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,15,11,7,Friday,15.0,12.0,7.0,Friday,0,1,0
163,6477,Airport,17.0,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,15,20,7,Friday,15.0,21.0,7.0,Friday,0,1,0
164,499,City,18.0,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,11,9,7,Monday,11.0,10.0,7.0,Monday,0,1,0
165,1147,Airport,18.0,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,11,20,7,Monday,11.0,21.0,7.0,Monday,0,1,0
166,1410,Airport,18.0,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,12,3,7,Tuesday,12.0,4.0,7.0,Tuesday,0,1,0
167,1804,Airport,18.0,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,12,9,7,Tuesday,12.0,9.0,7.0,Tuesday,0,1,0
168,1949,Airport,18.0,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,12,11,7,Tuesday,12.0,12.0,7.0,Tuesday,0,1,0
169,2713,City,18.0,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,13,1,7,Wednesday,13.0,2.0,7.0,Wednesday,0,1,0
170,2845,City,18.0,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,13,5,7,Wednesday,13.0,6.0,7.0,Wednesday,0,1,0
171,3943,Airport,18.0,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,13,22,7,Wednesday,13.0,23.0,7.0,Wednesday,0,1,0
172,4792,City,18.0,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,14,16,7,Thursday,14.0,17.0,7.0,Thursday,0,1,0
173,5207,Airport,18.0,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,14,20,7,Thursday,14.0,21.0,7.0,Thursday,0,1,0
